Command,Subject,Target
get me the fork,fork,me
Hand me that coke,me,
Bring me the soap,soap,me
retrieve the soap,soap,
give me the apple,apple,me
pass me the fork.,fork,me
Hand me the apple.,apple,me
Give me the apple.,apple,me
bring the tea to me,tea,me
Bring a fork to me.,fork,me
help me get the mug,mug,
Bring me chocolate.,chocolate,me
Serve Jordan pasta.,Jordan,
Go retrieve the box.,box,
Deliver me chocolate,chocolate,me
Bring the mug to me.,mug,me
Place beer on stove.,beer,stove
give robin the knife,knife,robin
Get me a knife please,knife,me
please bring me water,water,me
bring me the chocolate,chocolate,me
Hand me the box please,box,me
Bring the knife to me.,knife,me
Please give me the bag,bag,me
Please pass me the pasta,pasta,me
Please bring me the soap,soap,me
Give Michael a teaspoon.,teaspoon,Michael
Bring this banana to Tracy,banana,Tracy
Take these pickles to Alex.,pickles,Alex
Bring the fork to me please,fork,me
please to Jorgan give pasta,,pasta
Get the dishwasher prickles,prickles,
Take the tuna fish to Jamie,fish,Jamie
Please fetch that soap to me,soap,me
give the tea spoon to Micheal,spoon,Micheal
Take the bowl to the cabinet.,bowl,cabinet
get the fork and give it to me,fork,me
"please the tuna, bring it to me",tuna,me
Bring the fork to the microwave,fork,microwave
bring me the toothpaste please.,toothpaste,me
Can you get the knife to Robin?,knife,Robin
Bring me some pasta dear robot.,robot,me
Place the apple on the counter.,apple,counter
Bring the soap to the nightstand,soap,nightstand
get mt the pear from the dresser,,dresser
place the tray on the dishwasher,tray,dishwasher
Put the tea spoon on the counter,spoon,counter
pass me the box on the dishwasher,box,dishwasher
Set the cookies on the nightstand,cookies,nightstand
Take the teaspoon to the counter.,teaspoon,counter
Can you bring me the choco flakes,flakes,me
Please bring my glass to the desk,glass,desk
Take the milk to the table please.,milk,table
bring me the shampoo from the sink,shampoo,sink
Put the melon on the coffee table.,melon,table
put the banana on the center table,banana,table
Take the pickles to the dishwasher.,pickles,dishwasher
Get me the milk from the microwave.,milk,microwave
Get the shampoo and bring it to me.,shampoo,me
Hand me the napkin from the freezer,napkin,freezer
Get me the mug that is on the stove.,mug,stove
Find the shampoo and bring it to me.,shampoo,me
Grab the lightest object on the sofa,object,sofa
Bring me the chips from the dresser.,chips,dresser
Hand me the biggest item in the sink,item,sink
Get me the shampoo from the bookshelf,shampoo,bookshelf
Take the pasta and sit it on the bed.,pasta,bed
Give me a tray from the dining table.,tray,table
Put the cereal in the bathroom cabinet,cereal,bathroom
Put the small dish on the dining table,dish,table
Please move the milk onto the wardrobe,milk,wardrobe
The tea goes on the dining room table.,,table
Can you bring me cookies from the sink?,cookies,sink
Bring me the biggest things in the sink,things,sink
get the choco flakes out of the freezer,flakes,freezer
Kindly get me the object under the milk,object,milk
bring me the smallest stuff in the sink,stuff,sink
Bring me the heaviest item on the chair,item,chair
At the baby chair bring Jordan the soap,soap,Jordan
give me the pear that is on the dresser,pear,dresser
I want the choco flakes from the freezer,flakes,freezer
The choco flakes need to be given to me.,,me
Put the cereal into the bathroom cabinet,cereal,bathroom
I need the larges object from the toilet,,toilet
Bring the choco flakes to the fireplace.,flakes,fireplace
Get me the largest item from the cuboard,item,cuboard
bring me the choco flakes in the cabinet,flakes,cabinet
Bring me the chips on the dresser please,chips,dresser
Take the small dish to the dining table.,dish,table
Bring me the smallest object from the bar,object,bar
Find Alex and bring the pickles for them.,Alex,them
Locate the toothpaste and bring it to me.,toothpaste,me
What is the largest object from the sink?,,sink
Give Hayden the shampoo in the baby chair,shampoo,chair
bring the apple to the top of the counter,apple,counter
Pick up the tuna fish and bring it to me.,fish,me
Take the big dish and give it to Michael.,dish,Michael
put the tea spoon on the bathroom cabinet,spoon,bathroom
Bring me the smallest objects in the sink,objects,sink
Give me the biggest thing on the armchair.,thing,armchair
Please bring me cereal from the sofa there,cereal,sofa
bring napkin to the person in the bathroom,napkin,bathroom
Get the apple and put it on the side table,apple,table
get me the largest object from the counter,object,counter
grab the tiniest item off the coffee table,item,table
Get me the item on the left of the fridge.,item,fridge
bring me the lightest object from the wash,object,wash
Bring me the lightest objects from the sofa,objects,sofa
Bring the big dish to Morgan by the freezer,dish,freezer
give me the thing on the left in the fridge,thing,fridge
find the tiniest items on or in the dresser,items,dresser
Go to the tv couch and get the beer for me.,beer,me
Get me a tea spoon from the cutlery drawer.,spoon,drawer
Go get me the biggest item in the microwave,item,microwave
Bring me the chips that are on the dresser.,chips,dresser
find the smallest object from the fireplace,object,fireplace
the shampoo could you bring it to me please,it,me
Bring me the bowl that is on the baby chair,bowl,chair
give the pickles at the baby chair to Taylor,pickles,Taylor
Take a tea spoon to Jordan at the nightstand,spoon,nightstand
Move the big dish and take it to the shower.,dish,shower
Bring me the biggest thing from the cabinet.,thing,cabinet
pass me the pasta from the nightstand please,pasta,nightstand
Bring me the smallest objects from the sofa.,objects,sofa
put the milk on the table in the dining room,milk,room
bring me the thinnest thing from the counter,thing,counter
get me the thinnest thing from the dishwasher,thing,dishwasher
move pringles from dining room to dishwasher.,pringles,dishwasher
get me the largest object on the coffee table,object,table
Hand me the thinnest items on the center table,items,table
Give me the largest objects from the armchair.,objects,armchair
Bring the bag to the person in the dining room,bag,room
Bring me what's above the cereal in the fridge,me,fridge
Please get me the smallest thing from the sofa,thing,sofa
Bring Michael the cereal at the cutlery drawer,cereal,drawer
Go to the armchair and place the banana on it.,banana,it
Move the bowl to the cabinet from the bedroom.,bowl,bedroom
Hand me the lightest object on the towel rack.,object,rack
Please bring the largest item from the cupboard,item,cupboard
Please bring me the lightest things on the sofa,things,sofa
go get the thing above the knife at the dresser,thing,dresser
Please me the weighty items from the towel rack,,rack
bing the big dish to the person in the corridor,dish,corridor
Take this apple to Jordan at the cutlery drawer,apple,drawer
Go get me the beer on the couch in the tv room.,beer,room
Get me the object at the right of the chocolate,object,chocolate
Get the cereal from the sofa and give it to me.,cereal,me
Take the glass thats in the bedroom to the sink,glass,sink
I'd like the rightmost object on the baby chair,object,chair
take to the washing machine the flakes of choco,flakes,choco
bring me the lightest item from the coffee table,item,table
Retrieve the teaspoon and put it on the counter.,teaspoon,counter
Please bring me that pear that is on the dresser,me,dresser
"bring hadyen the shampoo , hes in the baby chair",shampoo,chair
Go to the sink and bring me the smallest objects,objects,me
Take the cereal to Michael by the cutlery drawer.,cereal,drawer
Move the bag from the bookshelf to the side table,bag,table
Get me the heaviest objects from the coffee table,objects,table
Please bring me the left most item in the fridge.,item,fridge
Please hand me the biggest item from the cabinet.,item,cabinet
give me the smallest thing in the washing machine,thing,machine
bring the towel from the fridge over to the rack.,towel,rack
Can you bring me the biggest thing on the counter,thing,counter
get the milk from the microwave and give it to me,milk,me
get the pickles and bring them to the dishwasher.,pickles,dishwasher
Bring me the heaviest object on the coffee table.,object,table
Get me the left most object from the center table,object,table
Pass me the object above the peach on the counter,object,counter
bring the peach to the bathtub from the microwave,peach,microwave
Bring me the heaviest objects from the towel rack.,objects,rack
Hand me the lightest item from the washing machine,item,machine
Bring the peach to the bathtub from the microwave.,peach,microwave
Take the cookies and place them on the nightstand.,cookies,nightstand
Please fetch me that banana and put it on the desk,banana,desk
Take the cereal to Michael near the cutlery drawer,cereal,drawer
bring me the lightest item off the washing machine,item,machine
Bring to me the left most object from the tv couch,object,couch
Bring me the thinnest item from the clothes washer,item,washer
get shampoo for the person raising their right arm,shampoo,
Please take this banana and put it on the armchair,banana,armchair
Hand me the thinnest objects from the center table,objects,table
Bring the heaviest objects on the towel rack to me.,objects,me
Please bring me the rightmost object on the counter,object,counter
