id,utterance,logical_form
0,"follow <name>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
1,"go to the <room>
","( go "" <room> "" )
"
2,"give me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
3,"bring <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
4,"bring me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
5,"navigate to the <room>
","( go "" <room> "" )
"
6,"deliver <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
7,"Could you follow <name>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
8,"give <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
9,"give the <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
10,"deliver me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
11,"bring the <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
12,"bring <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
13,"meet <name> and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
14,"meet <name> and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
15,"deliver the <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
16,"meet <name> and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
17,"Robot please follow <name>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
18,"Could you go to the <room>
","( go "" <room> "" )
"
19,"Please give <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
20,"deliver <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
21,"Please bring <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
22,"Please bring me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
23,"Please navigate to the <room>
","( go "" <room> "" )
"
24,"lead <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
25,"Could you give <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
26,"Please deliver <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
27,"Could you bring <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
28,"Please deliver me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
29,"meet <name> and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
30,"Could you give me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
31,"guide <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
32,"Could you please follow <name>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
33,"Could you bring me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
34,"escort <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
35,"Pour some cereals into the bowl
","( pour ( lambda $1 e ( is_a $1 "" cereal "" ) ) ( lambda $1 e ( is_a $1 "" bowl "" ) ) )
"
36,"Please meet <name> and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
37,"Could you deliver <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
38,"Please meet <name> and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
39,"Could you deliver me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
40,"Robot please give me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
41,"Please meet <name> and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
42,"Robot please bring <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
43,"Please deliver <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
44,"Please meet <name> and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
45,"accompany <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
46,"Could you meet <name> and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
47,"Could you meet <name> and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
48,"Robot please deliver <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
49,"locate the <category> in the <room>
","( find ( lambda $1 e ( and ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) ) )
"
50,"Robot please navigate to the <room>
","( go "" <room> "" )
"
51,"take the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
52,"find three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
53,"grasp the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
54,"Could you meet <name> and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
55,"Robot please give <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
56,"place the <object> on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
57,"Could you deliver <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
58,"Robot please deliver me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
59,"bring the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
60,"Could you please give <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
61,"Could you please give me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
62,"Could you please bring <object> to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
63,"Could you meet <name> and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
64,"Robot please bring <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
65,"Please guide <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
66,"Please find the <object> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <room> "" ) ) )
"
67,"pick up the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
68,"Robot please meet <name> and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
69,"Robot please meet <name> and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
70,"Robot please deliver <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
71,"Could you lead <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
72,"Robot please meet <name> and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
73,"Could you please navigate to the <room>
","( go "" <room> "" )
"
74,"look for three <category> in the <room>
","( find ( lambda $1 e ( is_a $1 "" <category> "" ) ( at $1 "" <room> "" ) ) 3 )
"
75,"Could you please give <object> to <name>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) )
"
76,"Could you meet <name> and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
77,"Could you please deliver me the <object>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) )
"
78,"Robot please meet <name> and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) UNKNOWN )
"
79,"Please get the <object> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
80,"Please put the <object> on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ) "" <location> "" )
"
81,"Could you Pour some cereals into the bowl
","( pour ( lambda $1 e ( is_a $1 "" cereal "" ) ) ( lambda $1 e ( is_a $1 "" bowl "" ) ) )
"
82,"Please accompany <name> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ) "" <location> "" )
"
